Date,USA_GDPP,CHN_GDPP,JPN_GDPP,DEU_GDPP,IND_GDPP,GBR_GDPP,BRA_GDPP,RUS_GDPP,ZAF_GDPP,KOR_GDPP,BGD_GDPP,SGP_GDPP,HKG_GDPP,IDN_GDPP,VNM_GDPP
1994-12-31,27694.853416234,475.677874448369,39933.5150564874,27201.9593555204,347.73421473994,19709.2380983653,3298.71250747787,2662.10400390625,3488.59711541763,10385.3904572997,280.603031791216,21552.4100366948,22502.5302426236,899.793982949817,229.857787265757
1995-12-31,28690.8757013347,612.680277898627,44197.6191013908,31747.2449398447,375.17600537305,23168.9529580171,4756.74840785403,2665.77978515625,3855.6340871567,12564.7243743092,309.458680823367,24914.8507020358,23497.3920767477,1011.22614205568,287.802661028593
1996-12-31,29967.7127181749,713.337387811657,39150.0396308089,30599.7891048363,401.046754673579,24406.400298359,5179.13052002464,2643.92919921875,3617.55336002932,13402.994604707,371.917937677345,26232.866096827,24818.3021600084,1118.92133024129,337.051231790277
1997-12-31,31459.1299691554,786.743548510999,35638.2319556941,27046.9565464237,416.228116203753,26766.0056249684,5299.39630404412,2737.57202148438,3700.23554789867,12398.4904543462,379.284917709635,26375.8653668113,27330.0933613355,1044.60674832472,361.643884085566
1998-12-31,32853.6725949234,835.095348597432,32423.7556133801,27395.9440608051,413.630864056851,28274.5045119699,5105.89099544117,1834.86181640625,3309.60933087472,8281.71948271445,385.616881752796,21829.2737831583,25808.8609899709,454.877800792123,361.350928411167
1999-12-31,34515.3813073394,881.146614068925,36610.1683163197,26965.4922773722,441.927991436397,28762.0913570256,3493.57162513699,1330.75720214844,3242.36830483958,10672.4475586765,388.095684268235,21796.6373891001,25091.6665997966,657.268934667018,375.994455900496
2000-12-31,36329.9702595751,969.199513696287,39169.3595701504,23925.8559901991,442.750218937263,28280.926786099,3766.54811466032,1771.59411621094,3217.84693448467,12257.0206622345,396.670730249751,23852.8389514753,25756.7728723704,763.711124950924,404.029784055118
2001-12-31,37133.6203973517,1065.40597574519,34406.1824638092,23878.3641471651,450.357900514128,27906.5695029641,3176.28935747524,2100.3525390625,2847.15191945908,11561.2071745115,394.65641001891,21699.7414868907,25230.3780910304,732.307093405708,419.205677580901
2002-12-31,37997.7424300242,1163.55957673426,32820.7936433254,25486.5942008748,469.149928973927,30077.741432188,2855.94018885769,2377.52954101563,2688.23676032806,13165.08362497,393.886422327628,22159.8373710639,24665.8362318216,881.002913569131,445.132861817313
2003-12-31,39490.3023903176,1306.97245408557,35387.0374203599,30711.1022511331,544.143133545002,34442.6875402308,3090.6070097455,2975.123046875,4062.21755993786,14672.8057539465,426.74880754362,23730.3840054566,23977.1734120477,1043.2105838671,497.117089249256
